company,commodity,company_type,country,status,production_2026,production_2027,production_2028,current_capacity,commissioning,capacity_addition,source_date,source_title,source_url,assumptions
Freeport-McMoRan,gold,listed,United States,quantified,0.9 Moz,约 1.3 Moz,约 1.3 Moz,黄金主要来自 Grasberg 铜金系统,高品位区段恢复出矿后同步带动黄金副产,2027-2029 平均金销量高于 2026,2026-01,Freeport-McMoRan 2025 Annual Report and Grasberg Outlook,https://investors.fcx.com/investors/default.aspx,2027-2028 采用公司披露的 2027-2029 average annual sales 口径
Ivanhoe Mines,copper,listed,Canada,quantified,290-330 kt,380-420 kt,500+ kt,Kamoa-Kakula 3期投产后持续扩容,熔炼厂投运、4期扩建与西区新矿体开发并行,2028 起年产铜突破 50 万吨,2026-03,Ivanhoe Mines Kamoa-Kakula Updated Technical Report,https://www.ivanhoemines.com/investors/news-and-media/,取公司 2026/03/31 更新技术报告中的官方三年路径
Lundin Mining,copper,listed,Canada,quantified,310-335 kt,315-340 kt,290-315 kt,Candelaria、Caserones、Chapada 等资产并表后稳定运营,Josemaria、Candelaria 地下项目与 Caserones 优化推进,中期主要靠南美组合优化与新项目接替,2026-02,Lundin Mining 2026-2028 Production Guidance,https://lundinmining.com/investors/news/,按公司公开 2026-2028 guidance 原值录入
Lundin Mining,gold,listed,Canada,partial,134-149 koz,未单列披露,未单列披露,黄金来自铜矿副产,随 Candelaria、Chapada 等矿山运营计划波动,未单列三年金副产规划,2026-02,Lundin Mining 2026-2028 Production Guidance,https://lundinmining.com/investors/news/,公司仅对 2026 年黄金副产给出明确区间
Antofagasta,copper,listed,Chile,partial,650-700 kt,未单列披露,未单列披露,Los Pelambres、Centinela、Antucoya、Zaldívar 运营,Centinela 第二选厂投产后前十年平均新增约 144 kt 铜,中长期新增铜当量 170 kt/年,2026-02,Antofagasta 2026 Guidance and Centinela Second Concentrator Update,https://www.antofagasta.co.uk/investors/results-reports-and-presentations/,仅明确 2026 组指引；后续年份以项目平均产能披露
Antofagasta,gold,listed,Chile,partial,60-70 koz,未单列披露,未单列披露,黄金主要来自 Los Pelambres 等铜矿副产,Centinela 第二选厂投产后前十年平均新增约 130 koz 金,中长期副产金提升依赖 Centinela 扩建,2026-02,Antofagasta 2026 Guidance and Centinela Second Concentrator Update,https://www.antofagasta.co.uk/investors/results-reports-and-presentations/,2026 为明确年度指引，后续仅有项目平均值
Teck,copper,listed,Canada,quantified,280-310 kt,280-310 kt,270-300 kt,QB2、Highland Valley Copper、Carmen de Andacollo 组合运营,Highland Valley MLE、Zafranal、San Nicolás 处扩建/开发阶段,后续增量依赖 HVC MLE 与南美项目,2026-01,Teck Updated 2026-2028 Copper Guidance,https://www.teck.com/investors/reports-and-filings/,2026/01 重申 2025/10 披露的 2026-2028 铜指引
Southern Copper,copper,listed,Peru/Mexico,partial,未单列披露,未单列披露,未单列披露,Buenavista、Toquepala、Cuajone 等大型铜矿稳定运营,Tía María、Los Chancas、Buenavista Zinc 项目推进,产能增量主要来自秘鲁新建项目与墨西哥扩建,2026-02,Southern Copper Annual Report and Investor Presentation,https://southerncoppercorp.com/eng/invrel/,公司更偏项目级披露，未形成完整三年分年铜指引
Pilbara Minerals,lithium,listed,Australia,partial,680 ktpa spodumene capacity path,未单列披露,1 Mtpa 路径,Pilgangoora P680 已建成，设计产能最高约 68 万吨精矿/年,P1000/P2000 路线、Ngungaju 复产与中游示范项目推进,从 P680 向 100 万吨级扩展,2026-02,Pilbara Minerals Growth Projects Update,https://www.pls.com/investor-centre/asx-announcements,公司更多披露项目路径与名义产能，未给出完整三年分年产量
Mineral Resources,lithium,listed,Australia,partial,未单列披露,600 ktpa SC6 安装产能建设中,2H FY28 调试爬坡,Mt Marion 安装产能约 500 ktpa SC6,Mt Marion 扩产 FID，浮选及井下项目集中在 FY27-FY28,提升至 600 ktpa SC6,2026-05,Mineral Resources Mt Marion Expansion FID,https://www.mineralresources.com.au/investors/asx-announcements/,会计年度披露需映射到自然年度，2028 仍为下半年爬坡阶段
SQM,lithium,listed,Chile,partial,未单列披露,未单列披露,Mt Holland/Kwinana 氢氧化锂 50 ktpa 路径,Kwinana 炼厂 2025 年实现首产品,"Mt Holland 项目在 18 个月爬坡后达到 50,000 吨氢氧化锂/年",新增 50 ktpa 氢氧化锂产能,2026-02,SQM Annual Results and Mt Holland Update,https://ir.sqm.com/English/investors/default.aspx,项目产能为名义设计值，实际销量取决于爬坡与需求
Albemarle,lithium,listed,United States,partial,情景口径，未单列披露,未单列披露,未单列披露,Kemerton 保留部分 train，剩余产线进入 care and maintenance,智利 DLE 项目仍处审批/FID 前阶段,模块化最多 6 条线，单线约 50 L/s 卤水处理能力,2026-02,Albemarle Reports Fourth Quarter and Full Year 2025 Results,https://investors.albemarle.com/news-and-events/news/default.aspx,公司在低价周期下采用情景管理，不提供清晰三年分年产量
Ganfeng Lithium,lithium,listed,China,partial,未单列披露,未单列披露,未单列披露,"Cauchari-Olaroz 规划 40,000 吨碳酸锂；Mariana 与 Goulamina 已投产/投运",Mariana 2025 投产，Goulamina 一期 2024 投产,南美盐湖与非洲硬岩项目叠加放量,2025-12,Ganfeng Lithium Annual Report and Project Updates,https://www.ganfenglithium.com/investor.html,公开披露以项目产能为主，未形成完整自然年三年指引
Agnico Eagle,gold,listed,Canada,quantified,约 3.3-3.5 Moz,约 3.3-3.5 Moz,约 3.3-3.5 Moz,多矿山组合稳定维持 330-350 万盎司/年,Hope Bay 初期年产 400-435 koz 路径纳入中期增长,中期新增主要来自 Hope Bay、Detour 与 Odyssey,2026-02,Agnico Eagle 2026-2028 Production Guidance,https://www.agnicoeagle.com/English/investors/news-and-events/default.aspx,公司明确披露 2026-2028 年稳定年产区间
Kinross,gold,listed,Canada,quantified,约 2.0 Moz Au eq,约 2.0 Moz Au eq,约 2.0 Moz Au eq,公司维持约 200 万盎司当量年产水平,Redback/Redbird、Great Bear 等项目支撑后续年限,Redbird 2 在 2028-2031 年均约 155 koz,2026-02,Kinross 2025 Results and 2026-2028 Guidance,https://www.kinross.com/investors/default.aspx,2027-2028 为公司 stable production guidance
AngloGold Ashanti,gold,listed,United Kingdom/South Africa,partial,未单列披露,未单列披露,未单列披露,现有组合外叠加北美开发项目,Arthur 项目前 9 年平均约 500 koz；North Bullfrog 前 5 年均约 105 koz,美国项目构成中长期增量,2026-02,AngloGold Ashanti Project Updates and Annual Results,https://www.anglogoldashanti.com/investors/results-reports-presentations/,项目平均值明确，但公司未披露完整 2026-2028 分年总量
